iter	Passed	Remaining
938	263826	17138
939	264087	16856
940	264341	16574
941	264632	16293
942	264920	16013
943	265206	15732
944	265480	15451
945	265741	15169
946	266014	14887
947	266292	14606
948	266586	14326
949	266868	14045
950	267142	13764
951	267440	13484
952	267717	13203
953	268014	12923
954	268310	12642
955	268596	12362
956	268877	12081
957	269182	11801
958	269439	11519
959	269702	11237
960	269962	10955
961	270217	10673
962	270475	10392
963	270765	10111
964	271055	9831
965	271345	9550
966	271618	9269
967	271904	8988
968	272185	8707
969	272448	8426
970	272716	8144
971	272992	7863
972	273277	7583
973	273577	7302
974	273853	7021
975	274150	6741
976	274441	6460
977	274724	6179
978	275019	5899
979	275305	5618
980	275599	5337
981	275859	5056
982	276134	4775
983	276398	4494
984	276661	4213
985	276937	3932
986	277218	3651
987	277500	3370
988	277780	3089
989	278065	2808
990	278342	2527
991	278617	2246
992	278876	1965
993	279167	1685
994	279467	1404
995	279750	1123
996	280034	842
997	280333	561
998	280630	280
999	280903	0
